index_cpd	cpd_name	broad_cpd_id	top_test_conc_umol	cpd_status	gene_symbol_of_protein_target	target_or_activity_of_compound	compound_cluster_id	cpd_smiles	master_cpd_id
210	BRD-K34222889	BRD-K34222889	66	probe		analog of the natural product piperlongumine	54;70;120;159;215;304;376;394;437;449;461;467;475;479	COc1ccc(cc1)C#CC1=CCCN(C(=O)\C=C\c2cc(OC)c(OC)c(OC)c2)C1=O	688888
211	BRD-K34485477	BRD-K34485477	33	GE-active		product of diversity oriented synthesis	253;342;463;473;478;479	CNC[C@@H]1Oc2ccc(NC(=O)CCN3CCOCC3)cc2CC(=O)N(C[C@@H]1C)[C@H](C)CO	446716
212	BMS-536924	BRD-K34581968	37	probe	IGF1R;INSR	inhibitor of insulin-like growth factor 1 receptor (IGF1R) and insulin receptor (INSR)	53;76;175;351;403;449;461;467;475;479	Cc1cc(cc2[nH]c(nc12)-c1c(NC[C@@H](O)c2cccc(Cl)c2)cc[nH]c1=O)N1CCOCC1	411859
213	FQI-2	BRD-K35498412	33	probe		inhibitor of LSF1-mediated transcription	20;140;199;227;336;358;372;425;447;476;478;479	CCOc1ccccc1-c1cc(=O)[nH]c2cc3OCOc3cc12	609091
214	dacarbazine	BRD-K35520305	66	FDA		DNA alkylator	276;385;422;447;476;478;479	CN(C)\N=N\c1[nH]cnc1C(N)=O	32622
215	BRD-K35604418	BRD-K35604418	270	probe	MCL1	inhibitor of MCL1	299;344;410;438;445;467;475;479	Cc1cs\c(=N/C2CCCCC2)n1\N=C\c1ccc(O)c(O)c1O	660230
216	ouabain	BRD-K35708212	270	probe	ATP1A1;ATP1A2;ATP1A3;ATP1A4;ATP1B1;ATP1B2;ATP1B3;ATP1B4	cardiac glycoside; inhibitor of the Na+/K+-ATPase	278;336;358;372;425;447;476;478;479	C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)C2=CC(=O)OC2)[C@H](O)[C@H](O)[C@H]1O	37190
217	BRD6340	BRD-K35716340	33	probe		screening hit	320;400;441;459;473;478;479	C(Cn1c2ccccc2c2ccccc12)c1nc2ccccc2[nH]1	12877
218	darinaparsin	BRD-K35723520	33	clinical		inducer of ROS; inhibitor of microtubule assembly	353;399;444;472;476;478;479	C[As](C)SC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O	609121
219	niclosamide	BRD-K35960502	33	FDA	STAT3	inhibitor of STAT3 signaling	236;350;386;409;450;471;477	Oc1ccc(Cl)cc1C(=O)Nc1ccc(cc1Cl)[N+]([O-])=O	32653
220	KU-60019	BRD-K36016295	66	probe	ATM	inhibitor of ataxia telangiectasia mutated (ATM)	77;263;407;430;457;461;467;475;479	C[C@H]1CN(CC(=O)Nc2ccc3Sc4c(Cc3c2)cccc4-c2cc(=O)cc(o2)N2CCOCC2)C[C@@H](C)O1	660411
221	I-BET151	BRD-K36363294	66	probe	BRD2;BRD3;BRD4	inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins	14;22;125;328;374;403;449;461;467;475;479	COc1cc2c3n([C@H](C)c4ccccn4)c(=O)[nH]c3cnc2cc1-c1c(C)noc1C	660206
222	StemRegenin 1	BRD-K36739687	66	probe	AHR	inhibitor of aryl hydrocarbon receptor	94;213;287;313;371;430;457;461;467;475;479	CC(C)n1cnc2c(NCCc3ccc(O)cc3)nc(nc12)-c1csc2ccccc12	609063
223	NPC-26	BRD-K36852164	40	probe		induces cell death through a non-apoptotic, mitochondrial-dependent mechanism	167;322;345;383;450;471;477	CCOC(=O)c1c(NC(=O)c2ccc(s2)[N+]([O-])=O)sc2c1CC(C)(C)NC2(C)C	609058
224	BRD-K37390332	BRD-K37390332	33	GE-active		product of diversity oriented synthesis	182;253;342;463;473;478;479	C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2cccc3ccccc23)Oc2ccc(NC(=O)c3ccncc3)cc2CC1=O	463198
225	SB-525334	BRD-K37720887	66	probe	TGFBR1	inhibitor of the transforming growth factor beta type 1 receptor	273;381;418;442;456;466;469;472;476;478;479	Cc1cccc(n1)-c1[nH]c(nc1-c1ccc2nccnc2c1)C(C)(C)C	639962
226	PF-3758309	BRD-K37764012	66	probe	PAK4	inhibitor of serine/threonine p21-activating kinase 4	114;257;315;372;425;447;476;478;479	CN(C)C[C@@H](NC(=O)N1Cc2c(Nc3nc(C)nc4ccsc34)n[nH]c2C1(C)C)c1ccccc1	687953
227	etoposide	BRD-K37798499	28	FDA	TOP2A	inhibitor of topoisomerase II	42;72;224;240;312;404;423;445;467;475;479	COc1cc(cc(OC)c1O)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@@H](C)O[C@H]3[C@H](O)[C@H]2O)c2cc3OCOc3cc12	48589
228	LY-2183240	BRD-K37865504	33	probe	FAAH	inhibitor of fatty acid amide hydrolase; inhibitor of anandamide uptake	85;199;227;336;358;372;425;447;476;478;479	CN(C)C(=O)n1nnnc1Cc1ccc(cc1)-c1ccccc1	375496
229	nakiterpiosin	BRD-K38264551	33	probe		natural product; inhibitor of microtubule assembly	26;29;31;60;75;85;199;227;336;358;372;425;447;476;478;479	C[C@H]1C[C@@H](OC1=O)[C@@H](O)[C@@H](C(Cl)Cl)c1ccc2[C@@H]3C[C@@H](Br)[C@]45O[C@H](C[C@]4(C)[C@H]3C(=O)c2c1C)CO[C@H]5O	417452
230	ML031	BRD-K38985961	530	probe	S1PR2	inhibitor of sphingosine 1-phosphate receptor 2	113;338;363;462;471;477	Cc1cc(C(=O)CN2C(=O)CCC2=O)c(C)n1Cc1ccccc1	96171
231	NSC19630	BRD-K39706510	66	probe	WRN	inhibitor of Werner syndrome helicase activity	261;362;396;439;457;461;467;475;479	CCC(=O)OCN1C(=O)C=CC1=O	580922
232	lenvatinib	BRD-K39974922	66	FDA	FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB	inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta	52;181;221;347;421;438;445;467;475;479	COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O	628639
233	NSC 74859	BRD-K40853697	530	probe	STAT3	inhibitor of STAT3	152;332;402;453;466;469;472;476;478;479	Cc1ccc(cc1)S(=O)(=O)OCC(=O)Nc1ccc(C(O)=O)c(O)c1	411734
234	BRD-K41334119	BRD-K41334119	66	GE-active		product of diversity oriented synthesis	109;191;321;354;435;459;473;478;479	CNC[C@@H]1Oc2ccc(NS(C)(=O)=O)cc2CC(=O)N(C[C@@H]1C)[C@H](C)CO	446546
235	BRD-K41597374	BRD-K41597374	67	GE-active		product of diversity oriented synthesis	89;214;357;414;427;446;460;465;474;475;479	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2cc(F)ccc2F)Oc2cc(ccc2S1(=O)=O)C#CC1CCCC1	404452
236	palmostatin B	BRD-K42137908	66	probe	LYPLA1	inhibitor of acyl-protein thioesterase 1	110;399;444;472;476;478;479	CCCCCCCCCC[C@H]1[C@H](CCc2ccc(OC)c(OC)c2)OC1=O	679844
237	BRD-K42260513	BRD-K42260513	66	probe	EZH2	inhibitor of enhancer of zeste polycomb repressive complex 2 subunit	314;441;459;473;478;479	CC(C)n1ncc2c(cc(cc12)-c1ccc(nc1)N1CCNCC1)C(=O)NCc1c(C)cc(C)[nH]c1=O	687715
238	sunitinib	BRD-K42828737	66	FDA	FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB	inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta	118;221;347;421;438;445;467;475;479	CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C2/C(=O)Nc3ccc(F)cc23)c1C	374750
239	myricetin	BRD-K43149758	66	probe		flavonoid antioxidant	157;212;316;368;429;468;477	Oc1cc(O)c2c(c1)oc(-c1cc(O)c(O)c(O)c1)c(O)c2=O	29985
240	SNS-032	BRD-K43389698	66	clinical	CDK16;CDK17;CDK2;CDK7;CDK9;CDKL5	inhibitor of cyclin-dependent kinases	48;105;166;257;315;372;425;447;476;478;479	CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1	606254
241	MLN2480	BRD-K43410529	66	clinical	ARAF;BRAF;RAF1	inhibitor of RAF kinases	283;420;455;464;469;472;476;478;479	C[C@@H](NC(=O)c1ncnc(N)c1Cl)c1ncc(s1)C(=O)Nc1cc(c(Cl)cn1)C(F)(F)F	687579
242	PF-4800567 hydrochloride	BRD-K43428468	66	probe	CSNK1D;CSNK1E	inhibitor of casein kinase isoforms delta and epsilon	185;244;400;441;459;473;478;479	Nc1ncnc2n(nc(COc3cccc(Cl)c3)c12)C1CCOCC1	688962
243	WP1130	BRD-K43644456	66	probe	UCHL5;USP14;USP5;USP9X	inhibitor of the deubiquitinase activity of USP9X, USP5, USP14, and UCH37	193;294;383;450;471;477	CCC[C@H](NC(=O)C(=C\c1cccc(Br)n1)\C#N)c1ccccc1	660432
244	BRD-K44224150	BRD-K44224150	34	GE-active		product of diversity oriented synthesis	182;253;342;463;473;478;479	CNC[C@@H]1Oc2ccc(NC(=O)C3CCCCC3)cc2C(=O)N(C[C@@H]1C)[C@@H](C)CO	438564
245	ML083	BRD-K44241590	37	probe	PKM	activator of muscle pyruvate kinase	203;339;389;463;473;478;479	COc1ccc(cc1)S(=O)(=O)N1CCN(CC1)S(=O)(=O)c1ccc2OCCOc2c1	255961
246	pandacostat	BRD-K44741158	33	probe	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8	185;244;400;441;459;473;478;479	ONC(=O)\C=C\c1ccc(cc1)C(=O)N\N=C\c1ccc(O)c(O)c1O	417098
247	ELCPK	BRD-K44847641	0.4	probe		screening hit	96;140;199;227;336;358;372;425;447;476;478;479	O=S(=O)(N1CCCc2ccccc12)c1ccc(cc1)-c1cnc(o1)C1CC1	609056
248	betulinic acid	BRD-K45401373	66	probe		natural product; inhibitor of specificity protein 1 transcription factor in cells	167;322;345;383;450;471;477	CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12)C(O)=O	23256
249	BRD-K45681478	BRD-K45681478	66	probe		product of diversity oriented synthesis; screening hit	269;376;394;437;449;461;467;475;479	ClC1=C(NCC=C)C(=O)c2ccccc2C1=O	142931
250	NSC48300	BRD-K45748132	66	probe	TASP1	inhibitor of threonine endopeptidase taspase 1	162;246;299;344;410;438;445;467;475;479	O[As](O)(=O)c1ccc(Cc2ccc(cc2)[As](O)(O)=O)cc1	594399
251	IU1	BRD-K45841694	66	probe	USP14	inhibitor of the deubiquitinase activity of USP14	291;314;441;459;473;478;479	Cc1cc(C(=O)CN2CCCC2)c(C)n1-c1ccc(F)cc1	272805
252	BMS-195614	BRD-K45935533	66	probe	RARA;RARB;RARG	antagonist of retinoic acid receptors	148;309;373;433;451;454;470;474;475;479	CC1(C)CC=C(c2cnc3ccccc3c2)c2cc(ccc12)C(=O)Nc1ccc(cc1)C(O)=O	660228
253	CIL55	BRD-K46556387	10	probe		screening hit	142;205;354;435;459;473;478;479	CN(C)CCNC(=O)c1cc2CSc3cc(Cl)ccc3-c2s1	1788
254	Ki8751	BRD-K47150025	66	probe	KDR;KIT;PDGFRA	inhibitor of VEGFR2, c-KIT, and PDGFRA	44;91;181;221;347;421;438;445;467;475;479	COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc(F)cc4F)c(F)c3)c2cc1OC	375560
255	GMX-1778	BRD-K47335880	0.3	clinical	NAMPT	inhibitor of nicotinamide phosphoribosyltransferase	43;217;385;422;447;476;478;479	Clc1ccc(OCCCCCC\N=C(\NC#N)Nc2ccncc2)cc1	411843
256	Repligen 136	BRD-K47503321	66	probe	HDAC3	inhibitor of HDAC3	360;423;445;467;475;479	Cc1ccc(cc1)C(=O)NCCCCCC(=O)Nc1ccc(F)cc1N	628408
257	SR1001	BRD-K47981327	66	probe	RORA;RORC	synthetic ROR ligand; suppressor of TH17 differentiation	309;373;433;451;454;470;474;475;479	CC(=O)Nc1nc(C)c(s1)S(=O)(=O)Nc1ccc(cc1)C(O)(C(F)(F)F)C(F)(F)F	660317
258	BRD-K48334597	BRD-K48334597	66	GE-active		product of diversity oriented synthesis	270;357;414;427;446;460;465;474;475;479	C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)NC2CCCCC2)Oc2ccc(NC(=O)Cc3cn(C)c4ccccc34)cc2C1=O	431987
259	BRD-K48477130	BRD-K48477130	66	probe		screening hit	258;390;415;448;468;477	Cc1n[nH]c2NC3=C([C@@H](c12)c1ccccc1)C(=O)CC(C)(C)C3	649754
260	nintedanib	BRD-K49075727	66	clinical	FGFR1;FGFR2;FGFR3;FLT1;FLT3;KDR;PDGFRA;PDGFRB	inhibitor of c-KIT, VEGFRs, PDGFRs, and FGFRs	176;292;301;347;421;438;445;467;475;479	COC(=O)c1ccc2c(NC(=O)\C2=C(/Nc2ccc(cc2)N(C)C(=O)CN2CCN(C)CC2)c2ccccc2)c1	628601
261	GSK2636771	BRD-K49215523	66	clinical	PIK3CB	inhibitor of PI3K catalytic subunit beta	341;388;436;470;474;475;479	Cc1nc2c(cc(cc2n1Cc1cccc(c1C)C(F)(F)F)N1CCOCC1)C(O)=O	668723
262	BRD-K49290616	BRD-K49290616	66	GE-active		product of diversity oriented synthesis	308;382;434;454;470;474;475;479	OC[C@@H]1O[C@@H](CC(=O)NCc2ccncn2)CC[C@H]1NC(=O)c1ccc(F)cc1	414479
263	dasatinib	BRD-K49328571	66	FDA	EPHA2;KIT;LCK;SRC;YES1	inhibitor of SRC, YES1, EPHA2, c-KIT, and LCK	34;169;355;431;460;465;474;475;479	Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1	52882
264	PRIMA-1-Met	BRD-K49456190	33	probe	TP53	re-activator of the pro-apoptotic activity of mutant p53	290;341;388;436;470;474;475;479	COC[C@]1(CO)[N@@]2CC[C@@H](CC2)C1=O	594663
265	abiraterone	BRD-K50071428	17	FDA	CYP17A1	inhibitor of 17 alpha-hydroxylase and C17,20 lyase	259;265;405;448;468;477	C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CC=C2c1cccnc1	660363
266	sildenafil	BRD-K50128260	530	FDA	PDE5A	inhibitor of phosphodiesterase 5A	209;335;389;463;473;478;479	CCCc1nn(C)c2C(=O)NC(=Nc12)c3cc(ccc3OCC)S(=O)(=O)N4CCN(C)CC4	27872
267	NVP-TAE684	BRD-K50140147	66	probe	ALK	inhibitor of ALK and ALK-NPM fusion protein	76;175;351;403;449;461;467;475;479	COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1)N1CCC(CC1)N1CCN(C)CC1	606249
268	necrostatin-7	BRD-K50145167	66	probe		inhibitor of necroptosis	251;339;389;463;473;478;479	Fc1ccc(cc1)-c1n[nH]cc1C=C1SC(=N)N(C1=O)c1nccs1	660201
269	canertinib	BRD-K50168500	66	clinical	EGFR;ERBB2	inhibitor of EGFR and HER2	47;59;79;102;168;202;355;431;460;465;474;475;479	Fc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)C=C)cc23)cc1Cl	606138
270	HBX-41108	BRD-K50501969	66	probe	USP7	inhibitor of the deubiquitinase activity of USP7	234;295;394;437;449;461;467;475;479	Clc1ccc-2c(c1)C(=O)c1nc(C#N)c(nc-21)C#N	679843
271	BRD-K50799972	BRD-K50799972	66	GE-active		product of diversity oriented synthesis	135;343;413;444;472;476;478;479	COc1ccccc1-c1cccc(c1)-c1nc(cc2CN([C@@H](CCO)c12)[S@@](=O)C(C)(C)C)C(=O)NCc1ccncc1	596868
272	BRD-K51490254	BRD-K51490254	66	probe	HDAC6;HDAC8	inhibitor of HDAC6 and HDAC8	131;326;363;462;471;477	ONC(=O)c1cccc(c1)C(=O)Nc1ccccc1	616355
273	cabozantinib	BRD-K51544265	66	FDA	FLT3;KDR;MET;RET	inhibitor of c-MET, VEGFR2/3, and RET	40;126;292;301;347;421;438;445;467;475;479	COc1cc2nccc(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc4ccc(F)cc4)cc3)c2cc1OC	660840
274	TPCA-1	BRD-K51575138	66	probe	IKBKB	inhibitor of IKK-2	146;245;323;404;423;445;467;475;479	NC(=O)Nc1sc(cc1C(N)=O)-c1ccc(F)cc1	375564
275	CAY10576	BRD-K51781482	66	probe	IKBKE	inhibitor of IKK-epsilon	321;354;435;459;473;478;479	COc1cc2ncn(-c3cc(OCc4ccccc4S(C)(=O)=O)c(s3)C#N)c2cc1OC	622913
276	BRD-K51831558	BRD-K51831558	66	probe	EZH2	inhibitor of enhancer of zeste polycomb repressive complex 2 subunit	241;388;436;470;474;475;479	CC(C)n1ncc2c(cc(Br)cc12)C(=O)NCc1c(C)cc(C)[nH]c1=O	687661
277	BRD-K52037352	BRD-K52037352	66	GE-active		product of diversity oriented synthesis	170;214;357;414;427;446;460;465;474;475;479	C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2cccc3ccccc23)Oc2ccc(NC(=O)NC3CCCCC3)cc2CC1=O	450415
278	cerulenin	BRD-K52075040	150	probe	FASN;HMGCS1	inhibitor of fatty acid synthase; inhibitor of HMG-CoA synthase	54;70;120;159;215;304;376;394;437;449;461;467;475;479	C\C=C\C\C=C\CCC(=O)[C@H]1O[C@H]1C(N)=O	52430
279	tacedinaline	BRD-K52313696	33	probe	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8	238;297;392;439;457;461;467;475;479	CC(=O)Nc1ccc(cc1)C(=O)Nc1ccccc1N	54200
280	methylstat	BRD-K52560704	66	probe	KDM3A;KDM4A;KDM4B;KDM4C;KDM4D	inhibitor of lysine specific demethylases	159;215;304;376;394;437;449;461;467;475;479	COC(=O)\C=C\C(=O)N(O)CCCCNCc1ccc(COC(=O)Nc2cccc3ccccc23)cc1	667933
281	AZD7545	BRD-K52836380	74	probe	PDK2	inhibitor of pyruvate dehydrogenase kinase 2	152;332;402;453;466;469;472;476;478;479	CN(C)C(=O)c1ccc(cc1)S(=O)(=O)c1ccc(NC(=O)[C@@](C)(O)C(F)(F)F)c(Cl)c1	411814
282	GDC-0941	BRD-K52911425	66	clinical	PIK3CA;PIK3CB;PIK3CD;PIK3CG	inhibitor of PI3K kinase activity	46;80;107;134;284;380;421;438;445;467;475;479	CS(=O)(=O)N1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)-c2cccc3[nH]ncc23)CC1	639759
283	JW-55	BRD-K53328210	66	probe	TNKS	inhibitor of tankyrase	218;241;388;436;470;474;475;479	COc1ccc(cc1)C1(CNC(=O)c2ccc(NC(=O)c3ccco3)cc2)CCOCC1	682993
284	tivozanib	BRD-K53414658	33	clinical	FLT1;FLT3;KDR	inhibitor of VEGFRs	91;181;221;347;421;438;445;467;475;479	COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC	418170
285	BEC	BRD-K53792571	270	probe	ARG1;ARG2	inhibitor of arginase I and II	320;400;441;459;473;478;479	N[C@H](CSCCB(O)O)C(O)=O	60679
286	SRT-1720	BRD-K53855319	37	probe	SIRT1	activator of sirtuin-1	248;356;432;451;454;470;474;475;479	O=C(Nc1cc(CN2CCNCC2)cc(c1)-c1nc2ccccc2[nH]1)c1cnc2ccccc2n1	411820
287	neuronal differentiation inducer III	BRD-K53903639	270	probe		induction of rat HCN cell differentiation as judged by induction of neuronal reporter neuroD activity	285;392;439;457;461;467;475;479	O=C(NC1CC1)c1cc(on1)-c1cccs1	411733
288	ruxolitinib	BRD-K53972329	66	FDA	JAK1;JAK2	inhibitor of Janus kinases 1 and 2	323;404;423;445;467;475;479	N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12	639450
289	MK-1775	BRD-K54256913	33	clinical	WEE1	inhibitor of WEE1	121;242;272;315;372;425;447;476;478;479	CN1CCN(CC1)c1ccc(Nc2ncc3c(n2)n(-c2cccc(n2)C(C)(C)O)n(CC=C)c3=O)cc1	418167
290	JQ-1	BRD-K54606188	66	probe	BRDT	inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins	22;125;328;374;403;449;461;467;475;479	Cc1sc-2c(c1C)C(=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n-21)c1ccc(Cl)cc1	616354
291	WAY-362450	BRD-K54640016	66	probe	NR1H4	agonist of farnesoid X receptor	247;318;366;440;458;465;474;475;479	CC(C)OC(=O)C1=CN(CC(C)(C)c2c1[nH]c1ccccc21)C(=O)c1ccc(F)c(F)c1	660821
292	BYL-719	BRD-K54997624	66	clinical	PIK3CA	inhibitor of PI3K catalytic subunit alpha	101;200;284;380;421;438;445;467;475;479	Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(c1)C(C)(C)C(F)(F)F	668495
293	BRD-K55116708	BRD-K55116708	66	probe		product of diversity oriented synthesis; inhibitor of leukemic stem cells	135;343;413;444;472;476;478;479	C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(=O)Nc2ccccc2N)Oc2c(NC(=O)Nc3ccccc3)cccc2C1=O	444779
294	SZ4TA2	BRD-K55125219	66	probe	BCL2L1	inhibitor of BCL-xL	83;226;340;398;440;458;465;474;475;479	CC1(C)CCN(CC1)c1ccc(cc1)C(=O)NS(=O)(=O)c1ccc(NCCSc2ccccc2)c(c1)[N+]([O-])=O	688138
295	rigosertib	BRD-K55187425	66	clinical	PIK3CA;PIK3CB;PLK1	inhibitor of polo-like kinase 1; inhibitor of PI3K catalytic subunits alpha and beta	18;31;60;75;85;199;227;336;358;372;425;447;476;478;479	COc1cc(OC)c(\C=C\S(=O)(=O)Cc2ccc(OC)c(NCC(O)=O)c2)c(OC)c1	660397
296	isonicotinohydroxamic acid	BRD-K55478147	33	probe	HDAC6	inhibitor of HDAC6	208;305;384;429;468;477	ONC(=O)c1ccncc1	478694
297	epigallocatechin-3-monogallate	BRD-K55591206	300	probe		natural product	248;356;432;451;454;470;474;475;479	Oc1cc(O)c2C[C@@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@H](Oc2c1)c1cc(O)c(O)c(O)c1	28801
298	topotecan	BRD-K55696337	66	FDA	TOP1	inhibitor of topoisomerase I	12;73;129;184;312;404;423;445;467;475;479	CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4ccc(O)c(CN(C)C)c4cc3Cn1c2=O	44580
299	MGCD-265	BRD-K56277358	66	clinical	FLT1;FLT3;KDR;MET	inhibitor of c-MET and VEGFRs	126;292;301;347;421;438;445;467;475;479	Cn1cnc(c1)-c1cc2nccc(Oc3ccc(NC(=S)NC(=O)Cc4ccccc4)cc3F)c2s1	628622
300	ABT-737	BRD-K56301217	37	clinical	BCL2;BCL2L1;BCL2L2	inhibitor of BCL2, BCL-xL, and BCL-W	28;229;369;417;437;449;461;467;475;479	CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(cc1[N+]([O-])=O)S(=O)(=O)NC(=O)c1ccc(cc1)N1CCN(Cc2ccccc2-c2ccc(Cl)cc2)CC1	411738
301	PLX-4032	BRD-K56343971	33	FDA	BRAF	inhibitor of BRAF	408;453;466;469;472;476;478;479	CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(cc23)-c2ccc(Cl)cc2)c1F	649420
302	selumetinib	BRD-K57080016	270	clinical	MAP2K1;MAP2K2	inhibitor of MEK1 and MEK2	1;33;348;436;470;474;475;479	Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO	348991
303	marinopyrrole A	BRD-K57261999	66	probe	MCL1	natural product; putative inhibitor of MCL1	303;362;396;439;457;461;467;475;479	Oc1ccccc1C(=O)c1[nH]c(Cl)c(Cl)c1-n1c(cc(Cl)c1Cl)C(=O)c1ccccc1O	666910
304	AT13387	BRD-K58435339	66	clinical	HSP90AA1	inhibitor of HSP90	127;358;372;425;447;476;478;479	CC(C)c1cc(C(=O)N2Cc3ccc(CN4CCN(C)CC4)cc3C2)c(O)cc1O	688229
305	daporinad	BRD-K58550667	2	clinical	NAMPT	inhibitor of nicotinamide phosphoribosyltransferase	3;16;43;217;385;422;447;476;478;479	O=C(NCCCCC1CCN(CC1)C(=O)c1ccccc1)\C=C\c1cccnc1	418166
306	AZD6482	BRD-K58772419	66	clinical	PIK3CB;PIK3CD	inhibitor of PI3K catalytic subunits beta and delta	97;281;431;460;465;474;475;479	C[C@@H](Nc1ccccc1C(O)=O)c1cc(C)cn2c1nc(cc2=O)N1CCOCC1	639390
307	AZ-3146	BRD-K59146805	66	probe	TTK	inhibitor of TTK protein kinase	163;331;410;438;445;467;475;479	COc1cc(OC2CCN(C)CC2)ccc1Nc1ncc2n(C)c(=O)n(C3CCCC3)c2n1	660087
308	DBeQ	BRD-K59204667	66	probe	VCP	inhibitor of p97 in cells	225;262;338;363;462;471;477	C(Nc1nc(NCc2ccccc2)c2ccccc2n1)c1ccccc1	199337
309	VX-680	BRD-K59369769	66	clinical	AURKA;AURKB;AURKC	inhibitor of aurora kinases	352;416;455;464;469;472;476;478;479	CN1CCN(CC1)c1cc(Nc2cc(C)[nH]n2)nc(Sc2ccc(NC(=O)C3CC3)cc2)n1	340501
310	bardoxolone methyl	BRD-K59437938	66	clinical		electrophilic inducer of the NFE2L2-KEAP1 pathway	296;350;386;409;450;471;477	COC(=O)[C@@]12CCC(C)(C)C[C@@H]1[C@@H]1C(=O)C=C3[C@]4(C)C=C(C#N)C(=O)C(C)(C)[C@H]4CC[C@]3(C)[C@@]1(C)CC2	660318
311	methotrexate	BRD-K59456551	66	FDA	DHFR	inhibitor of dihydrofolate reductase	201;422;447;476;478;479	CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O	30371
312	mitomycin	BRD-K59670716	50	FDA		DNA crosslinker	36;90;116;184;312;404;423;445;467;475;479	CO[C@]12[C@H]3N[C@H]3CN1C1=C([C@H]2COC(N)=O)C(=O)C(N)=C(C)C1=O	50732
313	ML029	BRD-K59962020	33	probe		inhibitor of antigen receptor-mediated NFkappaB activity	274;367;417;437;449;461;467;475;479	Cc1cc2nc(NCCCO)n(CC(=O)c3cc(c(O)c(c3)C(C)(C)C)C(C)(C)C)c2cc1C	350548
314	serdemetan	BRD-K60219430	33	clinical	MDM2	inhibitor of MDM2	165;252;328;374;403;449;461;467;475;479	C(Cc1c[nH]c2ccccc12)Nc1cccc(Nc2ccncc2)c1	418164
315	MG-132	BRD-K60230970	20	probe	PSMB1;PSMB2;PSMB5;PSMD1;PSMD2	inhibitor of the proteosome	171;379;401;425;447;476;478;479	CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1)C=O	58948
316	PYR-41	BRD-K60750172	66	probe	UBA1	inhibitor of ubiquitin-activating enzyme in cells	268;326;363;462;471;477	CCOC(=O)c1ccc(cc1)N1NC(=O)C(=Cc2ccc(o2)[N+]([O-])=O)C1=O	660202
